X1,X2,X3,X4,X5,X6
2,0.98,514.50,294.00,110.25,7.00
3,0.90,563.50,318.50,122.50,7.00
4,0.86,588.00,294.00,147.00,7.00
5,0.82,612.50,318.50,147.00,7.00
2,0.79,637.00,343.00,147.00,7.00
3,0.76,661.50,416.50,122.50,7.00
4,0.74,686.00,245.00,220.50,3.50
5,0.71,710.50,269.50,220.50,3.50
2,0.69,735.00,294.00,220.50,3.50
3,0.66,759.50,318.50,220.50,3.50
4,0.64,784.00,343.00,220.50,3.50
5,0.62,808.50,367.50,220.50,3.50
2,0.98,514.50,294.00,110.25,7.00
3,0.90,563.50,318.50,122.50,7.00
4,0.86,588.00,294.00,147.00,7.00
5,0.82,612.50,318.50,147.00,7.00
2,0.79,637.00,343.00,147.00,7.00
3,0.76,661.50,416.50,122.50,7.00
4,0.74,686.00,245.00,220.50,3.50
5,0.71,710.50,269.50,220.50,3.50
2,0.69,735.00,294.00,220.50,3.50
3,0.66,759.50,318.50,220.50,3.50
4,0.64,784.00,343.00,220.50,3.50
5,0.62,808.50,367.50,220.50,3.50
2,0.98,514.50,294.00,110.25,7.00
3,0.90,563.50,318.50,122.50,7.00
4,0.86,588.00,294.00,147.00,7.00
5,0.82,612.50,318.50,147.00,7.00
2,0.79,637.00,343.00,147.00,7.00
3,0.76,661.50,416.50,122.50,7.00
4,0.74,686.00,245.00,220.50,3.50
5,0.71,710.50,269.50,220.50,3.50
2,0.69,735.00,294.00,220.50,3.50
3,0.66,759.50,318.50,220.50,3.50
4,0.64,784.00,343.00,220.50,3.50
5,0.98,514.50,294.00,110.25,7.00
2,0.90,563.50,318.50,122.50,7.00
3,0.86,588.00,294.00,147.00,7.00
4,0.82,612.50,318.50,147.00,7.00
5,0.79,637.00,343.00,147.00,7.00
