mpg,cylinder,displacement,weight,acceleration,class
18,8,307,1795,12,70
15,8,350,3651,11.5,70
18,8,318,3574,11,70
16,8,304,3645,12,70
17,8,302,3193,10.5,70
15,8,429,1825,10,70
14,8,454,1990,9,70
14,8,440,2155,8.5,70
14,8,455,2565,10,70
15,8,390,3150,8.5,70
15,8,383,3940,10,70
14,8,340,3270,8,70
15,8,400,2930,9.5,70
14,8,455,3820,10,70
24,4,113,4380,15,70
22,6,198,4055,15.5,70
18,6,199,3870,15.5,70
21,6,200,3755,16,70
27,4,97,2045,14.5,70
26,4,97,2155,20.5,70
25,4,110,1825,17,75
24,4,107,2300,15,75
25,4,104,1945,17,75
26,4,121,3880,14.5,75
21,6,199,4060,13.5,75
10,8,360,4140,17.5,75
10,8,307,4295,15.5,76
11,8,318,3520,16.9,76
9,8,304,3425,14.9,76
27,4,97,3630,17.7,76
28,4,140,3525,15.3,76
25,4,113,4220,13,76
25,4,98,4165,13,76
19,6,232,4325,13.9,76
16,6,225,4335,12.8,76
17,6,250,1940,15.4,76
19,6,250,2740,14.5,76
18,6,232,2265,17.6,76
14,8,350,2755,17.6,76
14,8,400,2051,22.2,76
14,8,351,2075,22.1,76
14,8,318,1985,14.2,76
12,8,383,2190,17.4,76
13,8,400,2815,17.7,76
13,8,400,2600,21,76
18,6,258,2720,16.2,76
22,4,140,1985,17.8,76
19,6,250,1800,12.2,76
18,6,250,1985,17,76
23,4,122,2070,16.4,76
28,4,116,1800,13.6,76
30,4,79,3365,15.7,76
30,4,88,3735,13.2,76
31,4,71,3570,21.9,76
35,4,72,3535,15.5,76
27,4,97,3155,16.7,76
26,4,91,2965,12.1,76
24,4,113,2720,12,76
25,4,97.5,3430,15,76
23,4,97,3210,14,76
20,4,140,3380,18.5,77
21,4,122,3070,14.8,77
13,8,350,3620,18.6,77
14,8,400,3410,15.5,77
15,8,318,3425,16.8,77
14,8,351,3445,12.5,77
17,8,304,3205,19,77
11,8,429,4080,13.7,77
13,8,350,2155,14.9,77
12,8,350,2560,16.4,77
13,8,400,2300,16.9,77
19,3,70,2230,17.7,77
15,8,304,2515,19,77
