mpg,cylinder,displacement,weight,acceleration,model year,class
18,8,307,3504,12,70,1
15,8,350,3693,11.5,70,1
18,8,318,3436,11,70,1
16,8,304,3433,12,70,1
17,8,302,3449,10.5,70,1
15,8,429,4341,10,70,1
14,8,454,4354,9,70,1
14,8,440,4312,8.5,70,1
14,8,455,4425,10,70,1
15,8,390,3850,8.5,70,1
15,8,383,3563,10,70,1
14,8,340,3609,8,70,1
15,8,400,3761,9.5,70,1
14,8,455,3086,10,70,1
24,4,113,2372,15,70,3
22,6,198,2833,15.5,70,1
18,6,199,2774,15.5,70,1
21,6,200,2587,16,70,1
27,4,97,2130,14.5,70,3
26,4,97,1835,20.5,70,2
19,6,232,3211,17,75,1
23,4,115,2694,15,75,2
23,4,120,2957,17,75,2
22,4,121,2945,14.5,75,2
25,4,121,2671,13.5,75,2
33,4,91,1795,17.5,75,3
28,4,107,2464,15.5,76,2
25,4,116,2220,16.9,76,2
25,4,140,2572,14.9,76,1
26,4,98,2255,17.7,76,1
27,4,101,2202,15.3,76,2
17.5,8,305,4215,13,76,1
16,8,318,4190,13,76,1
15.5,8,304,3962,13.9,76,1
14.5,8,351,4215,12.8,76,1
22,6,225,3233,15.4,76,1
22,6,250,3353,14.5,76,1
24,6,200,3012,17.6,76,1
22.5,6,232,3085,17.6,76,1
29,4,85,2035,22.2,76,1
24.5,4,98,2164,22.1,76,1
29,4,90,1937,14.2,76,2
33,4,91,1795,17.4,76,3
20,6,225,3651,17.7,76,1
18,6,250,3574,21,76,1
18.5,6,250,3645,16.2,76,1
17.5,6,258,3193,17.8,76,1
29.5,4,97,1825,12.2,76,2
32,4,85,1990,17,76,3
28,4,97,2155,16.4,76,3
26.5,4,140,2565,13.6,76,1
20,4,130,3150,15.7,76,2
13,8,318,3940,13.2,76,1
19,4,120,3270,21.9,76,2
19,6,156,2930,15.5,76,3
16.5,6,168,3820,16.7,76,2
16.5,8,350,4380,12.1,76,1
13,8,350,4055,12,76,1
13,8,302,3870,15,76,1
13,8,318,3755,14,76,1
31.5,4,98,2045,18.5,77,3
30,4,111,2155,14.8,77,1
36,4,79,1825,18.6,77,2
25.5,4,122,2300,15.5,77,1
33.5,4,85,1945,16.8,77,3
17.5,8,305,3880,12.5,77,1
17,8,260,4060,19,77,1
15.5,8,318,4140,13.7,77,1
15,8,302,4295,14.9,77,1
17.5,6,250,3520,16.4,77,1
20.5,6,231,3425,16.9,77,1
19,6,225,3630,17.7,77,1
18.5,6,250,3525,19,77,1
16,8,400,4220,11.1,77,1
15.5,8,350,4165,11.4,77,1
15.5,8,400,4325,12.2,77,1
16,8,351,4335,14.5,77,1
29,4,97,1940,14.5,77,2
24.5,4,151,2740,16,77,1
26,4,97,2265,18.2,77,3
25.5,4,140,2755,15.8,77,1
30.5,4,98,2051,17,77,1
33.5,4,98,2075,15.9,77,1
30,4,97,1985,16.4,77,3
30.5,4,97,2190,14.1,77,2
22,6,146,2815,14.5,77,3
21.5,4,121,2600,12.8,77,2
21.5,3,80,2720,13.5,77,3
43.1,4,90,1985,21.5,78,2
36.1,4,98,1800,14.4,78,1
32.8,4,78,1985,19.4,78,3
39.4,4,85,2070,18.6,78,3
36.1,4,91,1800,16.4,78,3
19.9,8,260,3365,15.5,78,1
19.4,8,318,3735,13.2,78,1
20.2,8,302,3570,12.8,78,1
19.2,6,231,3535,19.2,78,1
20.5,6,200,3155,18.2,78,1
20.2,6,200,2965,15.8,78,1
25.1,4,140,2720,15.4,78,1
20.5,6,225,3430,17.2,78,1
19.4,6,232,3210,17.2,78,1
20.6,6,231,3380,15.8,78,1
20.8,6,200,3070,16.7,78,1
18.6,6,225,3620,18.7,78,1
18.1,6,258,3410,15.1,78,1
19.2,8,305,3425,13.2,78,1
17.7,6,231,3445,13.4,78,1
18.1,8,302,3205,11.2,78,1
17.5,8,318,4080,13.7,78,1
30,4,98,2155,16.5,78,1
27.5,4,134,2560,14.2,78,3
27.2,4,119,2300,14.7,78,3
30.9,4,105,2230,14.5,78,1
21.1,4,134,2515,14.8,78,3
23.2,4,156,2745,16.7,78,1
23.8,4,151,2855,17.6,78,1
23.9,4,119,2405,14.9,78,3
20.3,5,131,2830,15.9,78,2
17,6,163,3140,13.6,78,2
21.6,4,121,2795,15.7,78,2
16.2,6,163,3410,15.8,78,2
31.5,4,89,1990,14.9,78,2
29.5,4,98,2135,16.6,78,3
21.5,6,231,3245,15.4,79,1
19.8,6,200,2990,18.2,79,1
22.3,4,140,2890,17.3,79,1
20.2,6,232,3265,18.2,79,1
20.6,6,225,3360,16.6,79,1
17,8,305,3840,15.4,79,1
17.6,8,302,3725,13.4,79,1
16.5,8,351,3955,13.2,79,1
18.2,8,318,3830,15.2,79,1
16.9,8,350,4360,14.9,79,1
15.5,8,351,4054,14.3,79,1
19.2,8,267,3605,15,79,1
18.5,8,360,3940,13,79,1
31.9,4,89,1925,14,79,2
34.1,4,86,1975,15.2,79,3
35.7,4,98,1915,14.4,79,1
27.4,4,121,2670,15,79,1
25.4,5,183,3530,20.1,79,2
23,8,350,3900,17.4,79,1
27.2,4,141,3190,24.8,79,2
23.9,8,260,3420,22.2,79,1
34.2,4,105,2200,13.2,79,1
34.5,4,105,2150,14.9,79,1
31.8,4,85,2020,19.2,79,3
37.3,4,91,2130,14.7,79,2
28.4,4,151,2670,16,79,1
28.8,6,173,2595,11.3,79,1
26.8,6,173,2700,12.9,79,1
33.5,4,151,2556,13.2,79,1
41.5,4,98,2144,14.7,80,2
38.1,4,89,1968,18.8,80,3
32.1,4,98,2120,15.5,80,1
37.2,4,86,2019,16.4,80,3
28,4,151,2678,16.5,80,1
26.4,4,140,2870,18.1,80,1
24.3,4,151,3003,20.1,80,1
19.1,6,225,3381,18.7,80,1
34.3,4,97,2188,15.8,80,2
29.8,4,134,2711,15.5,80,3
31.3,4,120,2542,17.5,80,3
37,4,119,2434,15,80,3
32.2,4,108,2265,15.2,80,3
46.6,4,86,2110,17.9,80,3
27.9,4,156,2800,14.4,80,1
40.8,4,85,2110,19.2,80,3
44.3,4,90,2085,21.7,80,2
43.4,4,90,2335,23.7,80,2
36.4,5,121,2950,19.9,80,2
30,4,146,3250,21.8,80,2
44.6,4,91,1850,13.8,80,3
40.9,4,85,1835,17.3,80,2
33.8,4,97,2145,18,80,3
29.8,4,89,1845,15.3,80,2
32.7,6,168,2910,11.4,80,3
23.7,3,70,2420,12.5,80,3
35,4,122,2500,15.1,80,2
23.6,4,140,2905,14.3,80,1
32.4,4,107,2290,17,80,3
27.2,4,135,2490,15.7,81,1
26.6,4,151,2635,16.4,81,1
25.8,4,156,2620,14.4,81,1
23.5,6,173,2725,12.6,81,1
30,4,135,2385,12.9,81,1
39.1,4,79,1755,16.9,81,3
39,4,86,1875,16.4,81,1
35.1,4,81,1760,16.1,81,3
32.3,4,97,2065,17.8,81,3
37,4,85,1975,19.4,81,3
37.7,4,89,2050,17.3,81,3
34.1,4,91,1985,16,81,3
34.7,4,105,2215,14.9,81,1
34.4,4,98,2045,16.2,81,1
29.9,4,98,2380,20.7,81,1
33,4,105,2190,14.2,81,2
34.5,4,100,2320,15.8,81,2
33.7,4,107,2210,14.4,81,3
32.4,4,108,2350,16.8,81,3
32.9,4,119,2615,14.8,81,3
31.6,4,120,2635,18.3,81,3
28.1,4,141,3230,20.4,81,2
30.7,6,145,3160,19.6,81,2
25.4,6,168,2900,12.6,81,3
24.2,6,146,2930,13.8,81,3
22.4,6,231,3415,15.8,81,1
26.6,8,350,3725,19,81,1
20.2,6,200,3060,17.1,81,1
17.6,6,225,3465,16.6,81,1
28,4,112,2605,19.6,82,1
27,4,112,2640,18.6,82,1
34,4,112,2395,18,82,1
31,4,112,2575,16.2,82,1
29,4,135,2525,16,82,1
27,4,151,2735,18,82,1
24,4,140,2865,16.4,82,1
23,4,151,3035,20.5,82,1
36,4,105,1980,15.3,82,2
37,4,91,2025,18.2,82,3
31,4,91,1970,17.6,82,3
38,4,105,2125,14.7,82,1
36,4,98,2125,17.3,82,1
36,4,120,2160,14.5,82,3
36,4,107,2205,14.5,82,3
34,4,108,2245,16.9,82,3
38,4,91,1965,15,82,3
32,4,91,1965,15.7,82,3
38,4,91,1995,16.2,82,3
25,6,181,2945,16.4,82,1
38,6,262,3015,17,82,1
26,4,156,2585,14.5,82,1
22,6,232,2835,14.7,82,1
32,4,144,2665,13.9,82,3
36,4,135,2370,13,82,1
27,4,151,2950,17.3,82,1
27,4,140,2790,15.6,82,1
44,4,97,2130,24.6,82,2
32,4,135,2295,11.6,82,1
28,4,120,2625,18.6,82,1
31,4,119,2720,19.4,82,1
