type,Wheel Base,Length,Breadth,Height,Curb Weight,Compression Ratio
2,88.6,168.8,64.1,48.8,2548,9
1,94.5,171.2,65.5,52.4,2823,9
3,99.8,176.6,66.2,54.3,2337,10
3,99.4,176.6,66.4,54.3,2824,8
3,99.8,177.3,66.3,53.1,2507,8.5
3,94.5,192.7,71.4,55.7,2844,8.5
4,105.8,192.7,71.4,55.7,2954,8.5
3,93.7,192.7,71.4,55.9,3086,8.3
1,99.5,178.2,67.9,52,3053,7
3,94.5,176.8,64.8,54.3,2395,8.8
3,101.2,176.8,64.8,54.3,2710,9
3,105.8,176.8,64.8,54.3,2765,9
3,103.5,157.3,66.9,55.7,3055,8.5
3,103.5,189,66.9,55.7,3230,8
3,88.6,193.8,67.9,53.7,3380,8
3,110,197,70.9,56.3,3505,8
1,88.4,141.1,60.3,53.2,1488,9.5
1,94.5,155.9,63.6,52,1874,9.6
3,94.5,158.8,63.6,52,1909,9.6
1,93.7,157.3,63.8,50.8,1876,9.41
1,93.7,167.5,63.8,50.8,1876,9.4
3,93.7,144.6,63.8,50.6,1989,9.4
3,93.7,157.3,63.8,50.6,2191,7.6
1,95.9,141.1,66.3,50.2,2811,7
1,86.6,144.6,63.9,50.8,1713,9.6
1,94.5,144.6,63.9,50.8,1819,9.2
1,93.7,175.4,64,52.6,1837,10.1
1,94.5,157.3,64,52.6,1940,9.2
1,93.1,150,64,52.6,1956,9.2
3,96.5,163.4,64,54.5,2010,9.2
4,96.5,157.1,63.9,58.3,2024,9.2
1,94.5,167.5,65.2,53.3,2236,9
1,86.6,167.5,65.2,53.3,2289,10.1
3,96.5,175.4,65.2,54.1,2304,9
3,96.5,175.4,62.5,54.1,2372,9
3,93.1,175.4,65.2,54.1,2465,9
3,96.5,169.1,66,51,2293,9.1
3,94.3,170.7,61.8,53.5,2337,8.5
3,94.5,191.7,63.6,52,1874,9.6
3,94.5,155.9,63.6,52,1909,9.6
1,96,172.6,65.2,51.4,2734,9.2
3,104,199.6,69.6,52.8,4066,8.1
3,102,155.9,70.6,47.8,3950,11.5
1,93.1,159.1,64.2,54.1,1890,8.5
1,99.8,159.1,64.2,54.1,1900,9
1,93.1,159.1,64.2,54.1,1905,9.4
3,94.5,166.8,64.2,54.1,1945,9
3,93.1,166.8,64.2,54.1,1950,9

