class,b1,b2,b3,b4,b5,b6,b7
2,39,36,57,91,59,101,93
4,84,30,57,112,51,98,92
2,53,25,49,99,51,93,84
2,59,26,49,103,47,92,82
4,57,49,66,103,64,106,114
4,85,28,56,120,52,98,101
2,56,29,50,93,51,94,77
3,40,39,58,82,61,99,89
3,53,27,49,95,49,92,63
4,51,57,77,90,89,123,97
1,34,32,53,97,53,97,59
2,75,68,89,116,77,118,94
1,64,52,71,98,72,109,87
3,51,47,67,95,66,106,97
4,63,28,52,93,51,93,84
4,41,44,67,64,71,104,84
2,67,68,89,108,74,114,117
4,62,59,73,91,78,109,112
3,50,25,49,92,48,90,62
4,74,29,55,114,52,101,94
1,78,85,101,124,82,126,91
4,61,50,69,91,73,105,111
4,55,30,53,86,52,94,69
1,68,28,54,110,50,98,95
4,57,55,71,102,70,108,126
4,74,30,57,109,50,98,88
3,66,78,101,106,73,114,112
4,50,39,62,108,55,101,95
2,50,51,73,78,61,98,89
4,45,39,60,105,60,106,98
4,45,39,61,108,57,108,74
1,57,28,49,96,48,92,78
4,67,75,95,92,84,120,81
3,68,28,54,104,50,96,90
3,49,46,67,105,57,100,91
2,56,50,68,80,70,100,107
2,61,77,108,83,69,103,93
4,82,29,54,111,51,97,107
1,63,70,92,90,87,129,103
3,54,57,78,77,69,100,97
2,40,38,59,114,55,105,87
2,58,52,68,105,65,107,107
1,62,27,51,92,47,87,89
1,53,27,49,87,50,90,71
4,82,29,55,117,50,98,101
1,63,50,69,97,73,109,101
3,54,48,67,115,59,105,118
2,60,62,85,101,73,115,96
3,54,53,72,81,70,102,106
1,70,28,54,113,52,100,88
2,56,51,69,88,64,104,102
3,51,31,55,80,52,90,82
1,63,28,52,98,50,92,83
4,85,34,59,112,58,99,115
2,93,29,56,126,49,96,121
4,63,53,74,98,77,113,77
1,80,29,54,119,50,95,101
3,59,29,52,97,52,98,74
2,56,46,66,115,61,106,101
2,53,47,66,107,65,107,104
1,61,67,90,93,92,131,85
1,73,35,61,108,56,95,109
4,98,89,107,152,67,115,114
1,79,30,55,111,49,94,92
3,55,50,66,106,63,100,114
3,55,47,66,100,61,106,92
2,69,27,51,101,47,88,79
2,71,65,85,100,81,121,120
1,81,98,125,117,90,129,89
2,67,31,55,102,47,89,81
