class,fixed acidity,volatile acidity,citric acid,residual sugar,alcohol,quality
white,7,0.27,0.36,20.7,8.8,6
white,6.3,0.3,0.34,1.6,9.5,6
white,8.1,0.28,0.4,6.9,10.1,6
white,7.2,0.23,0.32,8.5,9.9,6
white,7.2,0.23,0.32,8.5,9.9,6
white,8.1,0.28,0.4,6.9,10.1,6
white,6.2,0.32,0.16,7,9.6,6
white,7,0.27,0.36,20.7,8.8,6
white,6.3,0.3,0.34,1.6,9.5,6
white,8.1,0.22,0.43,1.5,11,6
white,8.1,0.27,0.41,1.45,12,5
white,8.6,0.23,0.4,4.2,9.7,5
white,7.9,0.18,0.37,1.2,10.8,5
white,6.6,0.16,0.4,1.5,12.4,7
white,8.3,0.42,0.62,19.25,9.7,5
white,6.6,0.17,0.38,1.5,11.4,7
white,6.3,0.48,0.04,1.1,9.6,6
white,7,0.66,0.48,1.2,12.8,8
white,7.4,0.34,0.42,1.1,11.3,6
white,6.5,0.31,0.14,7.5,9.5,5
white,6.2,0.66,0.48,1.2,12.8,8
white,6.4,0.31,0.38,2.9,11,7
white,6.8,0.26,0.42,1.7,10.5,8
white,7.6,0.67,0.14,1.5,9.3,5
white,6.6,0.27,0.41,1.3,10,6
white,7,0.25,0.32,9,10.4,6
white,6.9,0.24,0.35,1,10,6
white,7,0.28,0.39,8.7,10.5,6
white,7.4,0.27,0.48,1.1,11.6,6
white,7.2,0.32,0.36,2,12.3,7
white,8.5,0.24,0.39,10.4,10,6
white,8.3,0.14,0.34,1.1,10.2,6
white,7.4,0.25,0.36,2.05,10.8,6
white,6.2,0.12,0.34,,9,6
white,5.8,0.27,0.2,14.95,10.2,5
white,7.3,0.28,0.43,1.7,12.8,5
white,6.5,0.39,0.23,5.4,10,5
white,7,0.33,0.32,1.2,11.2,6
white,7.3,0.24,0.39,17.95,8.6,5
white,7.3,0.24,0.39,17.95,8.6,5
white,6.7,0.23,0.39,2.5,9.4,6
white,6.7,0.24,0.39,2.9,9.4,6
white,7,0.31,0.26,7.4,9.8,6
white,6.6,0.24,0.27,1.4,9.5,6
white,6.7,0.23,0.26,1.4,9.5,6
white,7.4,0.18,0.31,1.4,10,7
white,6.2,0.45,0.26,4.4,9.8,4
white,6.2,0.46,0.25,4.4,9.8,5
white,7,0.31,0.26,7.4,9.8,6
white,6.9,0.19,0.35,5,9.8,5
white,7.2,0.19,0.31,1.6,11.7,6
white,6.6,0.25,0.29,1.1,11,7
white,6.2,0.16,0.33,1.1,10.9,7
white,6.4,0.18,0.35,1,10.9,6
white,6.8,0.2,0.59,0.9,9.1,6
white,6.9,0.25,0.35,1.3,11,6
white,7.2,0.21,0.34,11.9,9.6,6
white,6,0.19,0.26,12.4,8.9,6
white,6.6,0.38,0.15,4.6,10.2,6
white,7.4,0.2,0.36,1.2,9.9,6
white,6.8,0.22,0.24,4.9,8.6,6
white,6,0.19,0.26,12.4,8.9,6
white,7,0.47,0.07,1.1,10.5,5
white,6.6,0.38,0.15,4.6,10.2,6
white,7.2,0.24,0.27,1.4,10.3,6
white,6.2,0.35,0.03,1.2,9.1,5
white,6.4,0.26,0.24,6.4,12.6,7
white,6.7,0.25,0.13,1.2,9.8,5
white,6.7,0.23,0.31,2.1,10.7,8
white,7.4,0.24,0.29,10.1,9.5,5
