class,fixed acidity,volatile acidity,citric acid,alcohol,quality
white,7,0.27,0.36,8.8,6
white,6.3,0.3,0.34,9.5,6
white,8.1,0.28,0.4,10.1,6
white,7.2,0.23,0.32,9.9,6
white,8.1,0.28,0.4,10.1,6
white,6.2,0.32,0.16,9.6,6
white,7,0.27,0.36,8.8,6
white,6.3,0.3,0.34,9.5,6
white,8.1,0.22,0.43,11,6
white,8.1,0.27,0.41,12,5
white,8.6,0.23,0.4,9.7,5
white,7.9,0.18,0.37,10.8,5
white,6.6,0.16,0.4,12.4,7
white,8.3,0.42,0.62,9.7,5
white,6.6,0.17,0.38,11.4,7
white,6.3,0.48,0.04,9.6,6
white,7,0.66,0.48,12.8,8
white,7.4,0.34,0.42,11.3,6
white,6.5,0.31,0.14,9.5,5
white,6.2,0.66,0.48,12.8,8
white,6.4,0.31,0.38,11,7
white,6.8,0.26,0.42,10.5,8
white,7.6,0.67,0.14,9.3,5
white,6.6,0.27,0.41,10,6
white,7,0.25,0.32,10.4,6
white,6.9,0.24,0.35,10,6
white,7,0.28,0.39,10.5,6
white,7.4,0.27,0.48,11.6,6
white,7.2,0.32,0.36,12.3,7
white,8.5,0.24,0.39,10,6
white,8.3,0.14,0.34,10.2,6
white,7.4,0.25,0.36,10.8,6
white,6.2,0.12,0.34,9,6
white,5.8,0.27,0.2,10.2,5
white,7.3,0.28,0.43,12.8,5
white,6.5,0.39,0.23,10,5
white,7,0.33,0.32,11.2,6
white,7.3,0.24,0.39,8.6,5
white,6.7,0.23,0.39,9.4,6
white,7,0.31,0.26,9.8,6
white,6.6,0.24,0.27,9.5,6
white,6.7,0.23,0.26,9.5,6
white,7.4,0.18,0.31,10,7
white,6.2,0.45,0.26,9.8,4
white,6.2,0.46,0.25,9.8,5
white,7,0.31,0.26,9.8,6
white,6.9,0.19,0.35,9.8,5
white,7.2,0.19,0.31,11.7,6
white,6.6,0.25,0.29,11,7
white,6.2,0.16,0.33,10.9,7
white,6.4,0.18,0.35,10.9,6
white,6.8,0.2,0.59,9.1,6
white,6.9,0.25,0.35,11,6
white,7.2,0.21,0.34,9.6,6
white,6,0.19,0.26,8.9,6
white,6.6,0.38,0.15,10.2,6
white,7.4,0.2,0.36,9.9,6
white,6.8,0.22,0.24,8.6,6
white,6,0.19,0.26,8.9,6
white,7,0.47,0.07,10.5,5
white,6.6,0.38,0.15,10.2,6
white,7.2,0.24,0.27,10.3,6
white,6.2,0.35,0.03,9.1,5
white,6.4,0.26,0.24,12.6,7
white,6.8,0.3,0.23,9.5,5
white,6,0.27,0.28,10,5
white,8.6,0.23,0.46,9.1,6
white,6.7,0.23,0.31,10.7,8
white,7.4,0.24,0.29,9.5,5
white,7.1,0.18,0.36,12.7,7
white,7,0.32,0.34,12,7
white,7.4,0.18,0.3,9.3,5
white,6.7,0.54,0.28,9,5
white,6.8,0.22,0.31,10.6,6
white,7.1,0.2,0.34,9.2,6
white,7.1,0.34,0.2,10,5
white,7.3,0.22,0.3,9.5,6
white,7.1,0.43,0.61,8.7,5
white,7.1,0.44,0.62,8.7,6
white,7.2,0,0.63,8.7,6
white,6.8,0.25,0.31,9.7,6
white,7.1,0.43,0.61,8.7,5
white,7.1,0.44,0.62,8.7,6
red,8.7,0.78,0.51,12,5
red,7.5,0.58,0.56,5,6
red,8.7,0.78,0.51,12,5
red,7.7,0.75,0.27,34,5
red,6.8,0.815,0,16,3
red,7.2,0.56,0.26,13,5
red,8.2,0.885,0.2,7,5
red,5.2,0.49,0.26,23,6
red,7.2,0.45,0.15,10,6
red,7.5,0.57,0.02,11,6
red,7.5,0.57,0.02,11,6
red,6.8,0.83,0.09,4,5
red,8,0.6,0.22,25,5
red,8,0.6,0.22,25,5
red,7.1,0.755,0.15,20,5
red,8,0.81,0.25,34,5
red,7.4,0.64,0.07,8,5
red,7.4,0.64,0.07,8,5
red,6.6,0.64,0.31,7,5
red,6.7,0.48,0.02,36,5
red,6,0.49,0,15,6
red,8,0.64,0.22,5,5
red,7.1,0.62,0.06,5,5
red,8,0.52,0.25,19,5
red,6.4,0.57,0.14,27,5
red,8.6,0.685,0.1,3,6
red,8.7,0.675,0.1,4,5
red,7.3,0.59,0.26,17,5
red,7,0.6,0.12,13,7
red,7.2,0.67,0,10,6
red,7.9,0.69,0.21,33,5
red,7.6,0.3,0.42,6,6
red,7.2,0.33,0.33,3,8
red,8,0.5,0.39,12,6
red,7.7,0.28,0.3,18,7
red,8.2,0.24,0.34,8,6
red,6,0.51,0,40,6
red,8.1,0.29,0.36,35,7
red,6,0.51,0,40,6
red,6.6,0.96,0,5,6
red,6.4,0.47,0.4,8,6
red,8.2,0.24,0.34,8,6
red,9.9,0.57,0.25,12,5
red,10,0.32,0.59,3,5
red,6.2,0.58,0,8,5
red,10,0.32,0.59,3,5
red,7.3,0.34,0.33,21,7
red,7.8,0.53,0.01,3,5
red,7.7,0.64,0.21,32,5
red,7.8,0.53,0.01,3,5
red,7.5,0.4,0.18,24,5
red,7,0.54,0.06,39,6
red,6.4,0.53,0.09,14,4
red,8.3,0.26,0.37,8,6
red,8.3,0.26,0.37,8,6
