mpg,cylinders,displacement,weight,acceleration,Engine efficiency,class
18,8,307,3504,12,91.84,70
15,8,350,3693,11.5,91.552,70
18,8,318,3436,11,96,70
16,8,304,3433,12,90.768,70
17,8,302,3449,10.5,97.872,70
15,8,429,4341,10,95.376,70
14,8,454,4354,9,97.2,70
14,8,440,4312,8.5,99,70
14,8,455,4425,10,96.168,70
15,8,390,3850,8.5,95.104,70
15,8,383,3563,10,93.344,70
14,8,340,3609,8,95.856,70
15,8,400,3761,9.5,98.16,70
14,8,455,3086,10,85.36,70
24,4,113,2372,15,91.04,70
22,6,198,2833,15.5,94.464,70
18,6,199,2774,15.5,94.528,70
21,6,200,2587,16,90.832,70
27,4,97,2130,14.5,90.208,70
26,4,97,1835,20.5,92.368,70
25,4,110,2672,17.5,93.76,70
24,4,107,2430,14.5,93.728,70
25,4,104,2375,17.5,92.976,70
26,4,121,2234,12.5,91.072,70
21,6,199,2648,15,91.328,70
10,8,360,4615,14,94.736,70
10,8,307,4376,15,93.856,70
11,8,318,4382,13.5,94.192,70
9,8,304,4732,18.5,91.968,70
27,4,97,2130,14.5,92.208,71
28,4,140,2264,15.5,98.472,71
25,4,113,2228,14,85.32,71
25,4,98,2046,19,97.608,71
19,6,232,2634,13,89.88,71
16,6,225,3439,15.5,92,71
17,6,250,3329,15.5,90.896,71
19,6,250,3302,15.5,98.088,71
18,6,232,3288,15.5,88.16,71
14,8,350,4209,12,96.672,71
14,8,400,4464,11.5,88.4,71
14,8,351,4154,13.5,92.096,71
14,8,318,4096,13,92.56,71
12,8,383,4955,11.5,93.536,71
13,8,400,4746,12,98.568,71
13,8,400,5140,12,93.328,71
18,6,258,2962,13.5,88.64,71
22,4,140,2408,19,92.288,71
19,6,250,3282,15,87.08,71
18,6,250,3139,14.5,95.344,71
23,4,122,2220,14,85.72,71
28,4,116,2123,14,98.76,71
30,4,79,2074,19.5,94.72,71
30,4,88,2065,14.5,91.76,71
31,4,71,1773,19,97.104,71
35,4,72,1613,18,95.216,71
27,4,97,1834,19,93.568,71
26,4,91,1955,20.5,86.92,71
24,4,113,2278,15.5,91.712,72
25,4,97.5,2126,17,91.008,72
23,4,97,2254,23.5,95.696,72
20,4,140,2408,19.5,87.92,72
21,4,122,2226,16.5,90.144,72
13,8,350,4274,12,96.96,72
14,8,400,4385,12,92.16,72
15,8,318,4135,13.5,85.56,72
14,8,351,4129,13,94.048,72
17,8,304,3672,11.5,98.952,72
11,8,429,4633,11,92.048,72
13,8,350,4502,13.5,88.92,72
12,8,350,4456,13.5,97.968,72
13,8,400,4422,12.5,94.096,72
19,3,70,2330,13.5,85.24,72
15,8,304,3892,12.5,95.536,72
13,8,307,4098,14,96.096,72
13,8,302,4294,16,98.208,72
14,8,318,4077,14,87.52,72
18,4,121,2933,14.5,86,72
22,4,121,2511,18,95.296,72
21,4,120,2979,19.5,91.344,72
26,4,96,2189,18,85,72
22,4,122,2395,16,94.128,72
28,4,97,2288,17,94.112,72
23,4,120,2506,14.5,94.784,72
28,4,98,2164,15,85.84,72
27,4,97,2100,16.5,92.832,72
13,8,350,4100,13,94.976,73
14,8,304,3672,11.5,94.48,73
13,8,350,3988,13,94.32,73
14,8,302,4042,14.5,91.664,73
15,8,318,3777,12.5,87.8,73
12,8,429,4952,11.5,92.512,73
13,8,400,4464,12,90.88,73
13,8,351,4363,13,92.8,73
14,8,318,4237,14.5,89.76,73
13,8,440,4735,11,96.12,73
12,8,455,4951,11,92.32,73
13,8,360,3821,11,87.84,73
18,6,225,3121,16.5,93.52,73
16,6,250,3278,18,93.696,73
18,6,232,2945,16,90,73
18,6,250,3021,16.5,89.52,73
23,6,198,2904,16,86.52,73
26,4,97,1950,21,96.024,73
11,8,400,4997,14,86.72,73
12,8,400,4906,12.5,94.704,73
13,8,360,4654,13,92.144,73
12,8,350,4499,12.5,92.224,73
18,6,232,2789,15,93.92,73
20,4,97,2279,19,86.2,73
21,4,140,2401,19.5,94.88,73
22,4,108,2379,16.5,92.896,73
18,3,70,2124,13.5,85.76,73
19,4,122,2310,18.5,97.464,73
15,6,250,3158,19.5,91.408,75
16,8,400,4668,11.5,92.688,75
15,8,350,4440,14,87.4,75
16,8,318,4498,14.5,92.864,75
14,8,351,4657,13.5,93.6,75
17,6,231,3907,21,98.712,75
16,6,250,3897,18.5,94.992,75
15,6,258,3730,19,95.056,75
18,6,225,3785,19,91.376,75
21,6,231,3039,15,86.64,75
20,8,262,3221,13.5,95.616,75
13,8,302,3169,12,90.48,75
29,4,97,2171,16,87.64,75
23,4,140,2639,17,87.76,75
20,6,232,2914,16,92.576,75
23,4,140,2592,18.5,95.44,75
24,4,134,2702,13.5,86.96,75
25,4,90,2223,16.5,92.88,75
24,4,119,2545,17,97.68,75
18,6,171,2984,14.5,86.48,75
29,4,90,1937,14,91.696,75
19,6,232,3211,17,95.936,75
23,4,115,2694,15,98.136,75
