class,Religious,Nature,Theatre,Shopping,Picnic,Sports
1,77,79,69,68,95,2
1,62,76,76,69,68,2
4,50,97,87,50,75,2
2,68,77,95,76,61,2
4,98,54,59,95,86,2
1,52,109,93,52,76,3
2,64,85,82,73,69,3
2,54,107,92,54,76,3
5,64,108,64,54,93,3
1,86,76,74,74,103,3
2,107,54,64,103,94,3
4,103,60,63,102,93,3
3,64,82,82,75,69,3
4,93,54,74,103,69,3
3,63,82,81,78,69,3
2,82,79,75,75,82,3
1,59,131,103,54,86,5
5,56,124,108,56,85,5
4,85,67,111,65,72,4
4,114,83,65,114,102,5
5,93,82,79,79,90,4
3,105,52,75,113,78,4
4,69,118,74,66,101,5
5,71,123,64,59,102,4
1,88,94,81,79,91,5
2,83,99,89,74,91,5
4,69,133,74,54,101,5
2,128,53,74,117,105,5
5,74,123,69,61,101,5
5,79,93,118,90,72,5
3,51,115,110,51,84,4
3,69,93,93,81,79,5
4,100,53,86,112,78,4
5,88,69,108,71,77,4
1,93,84,75,84,112,4
2,79,86,110,93,73,4
2,87,72,112,63,71,4
5,65,128,79,56,101,5
2,91,66,110,69,71,4
5,93,79,74,92,90,4
1,59,118,108,63,85,5
1,65,103,90,80,79,5
3,87,89,76,89,111,4
4,93,85,79,85,91,4
3,93,94,79,79,113,5
5,74,130,74,53,101,5
5,118,59,69,119,97,4
3,101,61,76,113,78,4
1,88,99,79,83,114,5
2,74,87,87,79,79,4
2,148,59,104,208,119,14
3,93,89,74,89,93,5
3,79,103,68,103,85,4
1,76,92,111,90,71,4
5,94,140,89,118,92,8
4,108,109,89,89,143,8
2,98,89,133,79,79,6
1,84,118,102,94,90,8
3,138,74,79,143,118,8
5,74,109,103,89,88,6
2,118,104,94,94,118,8
3,94,128,89,128,99,8
3,64,155,118,64,97,8
3,84,108,138,103,79,6
5,108,109,94,99,138,8
4,89,108,128,116,81,6
1,103,79,148,74,79,6
1,103,109,99,89,108,6
5,108,99,94,94,138,8
3,108,109,104,79,133,8
1,138,59,84,138,128,8
2,79,143,113,69,109,8
4,84,153,79,64,113,8
3,74,148,118,64,104,8
3,74,153,118,59,99,8
4,118,64,101,133,92,6
5,69,153,113,59,99,6
2,123,68,89,128,90,6
4,99,104,128,64,78,6
5,124,59,84,143,88,6
5,84,131,128,93,81,6
2,113,64,89,141,86,6
2,118,64,99,134,88,6
1,89,143,84,64,118,8
1,98,89,133,69,79,6
4,98,104,109,91,101,6
4,84,143,74,74,133,8
2,123,64,93,148,90,8
1,84,113,141,98,81,6
