Religious,Nature,Theatre,Shopping,Picnic,sports,class
93.728,11.728,91.728,93.64,4.592,64.32,4
92.976,10.976,90.976,89.88,3.464,62.44,0
91.072,14.68,89.072,97.68,1.072,70.36,2
91.328,15.32,89.328,98.32,1.328,71.64,4
94.736,8.736,93.104,81.84,5.736,56.84,1
93.856,11.856,91.856,94.28,4.784,64.64,1
94.192,8.192,92.288,80.48,5.192,55.48,1
91.968,16.92,89.968,99.92,1.968,74.84,3
92.208,10.208,90.208,86.04,2.312,60.52,0
98.472,7.296,96.648,76.48,8.648,54.12,0
85.32,17.128,82.384,100.32,0,75.64,3
97.608,6.144,96.072,70.72,8.072,52.68,3
89.88,18.952,87.856,104.88,0,84.76,0
92,10,90,85,2,60,2
90.896,14.24,88.896,97.24,0.896,69.48,2
98.088,6.784,96.392,73.92,8.392,53.48,2
88.16,18.264,85.792,103.16,0,81.32,1
96.672,4.896,95.448,64.48,7.448,51.12,4
88.4,18.36,86.08,103.4,0,81.8,0
92.096,10.096,90.096,85.48,2.144,60.24,1
92.56,10.56,90.56,87.8,2.84,61.4,3
93.536,11.536,91.536,92.68,4.304,63.84,4
98.568,7.424,96.712,77.12,8.712,54.28,2
93.328,11.328,91.328,91.64,3.992,63.32,1
88.64,18.456,86.368,103.64,0,82.28,4
92.288,10.288,90.288,86.44,2.432,60.72,0
87.08,17.832,84.496,102.08,0,79.16,3
95.344,9.344,94.016,83.36,6.344,58.36,4
85.72,17.288,82.864,100.72,0,76.44,1
98.76,7.68,96.84,78.4,8.84,54.6,3
94.72,8.72,93.08,81.8,5.72,56.8,0
91.76,16.4,89.76,99.4,1.76,73.8,0
97.104,5.472,95.736,67.36,7.736,51.84,3
95.216,9.216,93.824,83.04,6.216,58.04,4
93.568,11.568,91.568,92.84,4.352,63.92,3
86.92,17.768,84.304,101.92,0,78.84,1
91.712,16.28,89.712,99.28,1.712,73.56,4
91.008,14.52,89.008,97.52,1.008,70.04,3
95.696,9.696,94.544,84.24,6.696,59.24,3
87.92,18.168,85.504,102.92,0,80.84,4
90.144,12.36,88.144,95.36,0.144,65.72,3
96.96,5.28,95.64,66.4,7.64,51.6,0
92.16,10.16,90.16,85.8,2.24,60.4,3
85.56,17.224,82.672,100.56,0,76.12,2
94.048,8.048,92.072,80.12,5.048,55.12,3
98.952,7.936,96.968,79.68,8.968,54.92,3
92.048,10.048,90.048,85.24,2.072,60.12,1
88.92,18.568,86.704,103.92,0,82.84,4
97.968,6.624,96.312,73.12,8.312,53.28,2
94.096,8.096,92.144,80.24,5.096,55.24,3
85.24,17.096,82.288,100.24,0,75.48,1
95.536,9.536,94.304,83.84,6.536,58.84,3
96.096,4.128,95.064,60.64,7.064,50.16,2
98.208,6.944,96.472,74.72,8.472,53.68,3
87.52,18.008,85.024,102.52,0,80.04,4
86,17.4,83.2,101,0,77,2
95.296,9.296,93.944,83.24,6.296,58.24,4
91.344,15.36,89.344,98.36,1.344,71.72,3
85,17,82,100,0,75,2
94.128,8.128,92.192,80.32,5.128,55.32,0
94.112,8.112,92.168,80.28,5.112,55.28,0
94.784,8.784,93.176,81.96,5.784,56.96,1
85.84,17.336,83.008,100.84,0,76.68,2
92.832,10.832,90.832,89.16,3.248,62.08,3
94.976,8.976,93.464,82.44,5.976,57.44,2
94.48,8.48,92.72,81.2,5.48,56.2,2
94.32,8.32,92.48,80.8,5.32,55.8,4
91.664,16.16,89.664,99.16,1.664,73.32,4
87.8,18.12,85.36,102.8,0,80.6,1
92.512,10.512,90.512,87.56,2.768,61.28,0
90.88,14.2,88.88,97.2,0.88,69.4,4
92.8,10.8,90.8,89,3.2,62,1
89.76,18.904,87.712,104.76,0,84.52,2
96.12,4.16,95.08,60.8,7.08,50.2,3
92.32,10.32,90.32,86.6,2.48,60.8,4
87.84,18.136,85.408,102.84,0,80.68,3
93.52,11.52,91.52,92.6,4.28,63.8,3
93.696,11.696,91.696,93.48,4.544,64.24,3
94.704,8.704,93.056,81.76,5.704,56.76,0
92.144,10.144,90.144,85.72,2.216,60.36,3
92.224,10.224,90.224,86.12,2.336,60.56,0
93.92,11.92,91.92,94.6,4.88,64.8,1
86.2,17.48,83.44,101.2,0,77.4,3
94.88,8.88,93.32,82.2,5.88,57.2,3
92.896,10.896,90.896,89.48,3.344,62.24,3
85.76,17.304,82.912,100.76,0,76.52,2
97.464,5.952,95.976,69.76,7.976,52.44,4
91.408,15.52,89.408,98.52,1.408,72.04,0
92.688,10.688,90.688,88.44,3.032,61.72,4
87.4,17.96,84.88,102.4,0,79.8,0
92.864,10.864,90.864,89.32,3.296,62.16,4
93.6,11.6,91.6,93,4.4,64,0
98.712,7.616,96.808,78.08,8.808,54.52,2
94.992,8.992,93.488,82.48,5.992,57.48,1
95.056,9.056,93.584,82.64,6.056,57.64,2
91.376,15.44,89.376,98.44,1.376,71.88,1
86.64,17.656,83.968,101.64,0,78.28,3
95.616,9.616,94.424,84.04,6.616,59.04,0
90.48,13.2,88.48,96.2,0.48,67.4,0
87.64,18.056,85.168,102.64,0,80.28,3
87.76,18.104,85.312,102.76,0,80.52,2
92.576,10.576,90.576,87.88,2.864,61.44,2
95.44,9.44,94.16,83.6,6.44,58.6,4
86.96,17.784,84.352,101.96,0,78.92,2
92.88,10.88,90.88,89.4,3.32,62.2,3
97.68,6.24,96.12,71.2,8.12,52.8,0
86.48,17.592,83.776,101.48,0,77.96,3
91.696,16.24,89.696,99.24,1.696,73.48,2
95.936,9.936,94.904,84.84,6.936,59.84,1
98.136,6.848,96.424,74.24,8.424,53.56,0
98.016,6.688,96.344,73.44,8.344,53.36,1
93.808,11.808,91.808,94.04,4.712,64.52,0
85.92,17.368,83.104,100.92,0,76.84,3
97.632,6.176,96.088,70.88,8.088,52.72,3
93.136,11.136,91.136,90.68,3.704,62.84,3
90.192,12.48,88.192,95.48,0.192,65.96,0
93.84,11.84,91.84,94.2,4.76,64.6,3
98.592,7.456,96.728,77.28,8.728,54.32,4
92.848,10.848,90.848,89.24,3.272,62.12,2
97.152,5.536,95.768,67.68,7.768,51.92,4
98.256,7.008,96.504,75.04,8.504,53.76,3
96.048,4.064,95.032,60.32,7.032,50.08,4
96.072,4.096,95.048,60.48,7.048,50.12,1
94.064,8.064,92.096,80.16,5.064,55.16,2
91.136,14.84,89.136,97.84,1.136,70.68,0
97.728,6.304,96.152,71.52,8.152,52.88,2
86.08,17.432,83.296,101.08,0,77.16,4
85.12,17.048,82.144,100.12,0,75.24,0
98.4,7.2,96.6,76,8.6,54,1
92.464,10.464,90.464,87.32,2.696,61.16,3
91.776,16.44,89.776,99.44,1.776,73.88,4
93.456,11.456,91.456,92.28,4.184,63.64,0
85.4,17.16,82.48,100.4,0,75.8,1
88.48,18.392,86.176,103.48,0,81.96,0
88.6,18.44,86.32,103.6,0,82.2,0
93.056,11.056,91.056,90.28,3.584,62.64,3
95.152,9.152,93.728,82.88,6.152,57.88,0
92.608,10.608,90.608,88.04,2.912,61.52,0
89.24,18.696,87.088,104.24,0,83.48,2
93.68,11.68,91.68,93.4,4.52,64.2,3
97.08,5.44,95.72,67.2,7.72,51.8,2
97.368,5.824,95.912,69.12,7.912,52.28,4
89.72,18.888,87.664,104.72,0,84.44,0
90,19,88,105,0,85,1
95.92,9.92,94.88,84.8,6.92,59.8,3
93.472,11.472,91.472,92.36,4.208,63.68,4
93.12,11.12,91.12,90.6,3.68,62.8,3
95.632,9.632,94.448,84.08,6.632,59.08,4
94.688,8.688,93.032,81.72,5.688,56.72,4
94.512,8.512,92.768,81.28,5.512,56.28,3
94.864,8.864,93.296,82.16,5.864,57.16,4
87.6,18.04,85.12,102.6,0,80.2,2
91.6,16,89.6,99,1.6,73,0
95.776,9.776,94.664,84.44,6.776,59.44,4
95.04,9.04,93.56,82.6,6.04,57.6,2
94.672,8.672,93.008,81.68,5.672,56.68,3
93.904,11.904,91.904,94.52,4.856,64.76,2
95.648,9.648,94.472,84.12,6.648,59.12,1
96.72,4.96,95.48,64.8,7.48,51.2,2
92.704,10.704,90.704,88.52,3.056,61.76,2
97.224,5.632,95.816,68.16,7.816,52.04,4
93.376,11.376,91.376,91.88,4.064,63.44,0
95.408,9.408,94.112,83.52,6.408,58.52,3
93.248,11.248,91.248,91.24,3.872,63.12,0
94.56,8.56,92.84,81.4,5.56,56.4,1
95.456,9.456,94.184,83.64,6.456,58.64,3
85.48,17.192,82.576,100.48,0,75.96,4
91.12,14.8,89.12,97.8,1.12,70.6,3
87.88,18.152,85.456,102.88,0,80.76,2
97.008,5.344,95.672,66.72,7.672,51.68,0
96.576,4.768,95.384,63.84,7.384,50.96,3
98.184,6.912,96.456,74.56,8.456,53.64,1
92.736,10.736,90.736,88.68,3.104,61.84,2
91.168,14.92,89.168,97.92,1.168,70.84,4
96.816,5.088,95.544,65.44,7.544,51.36,0
96.264,4.352,95.176,61.76,7.176,50.44,1
98.304,7.072,96.536,75.36,8.536,53.84,4
94,12,92,95,5,65,1
85.8,17.32,82.96,100.8,0,76.6,2
96.192,4.256,95.128,61.28,7.128,50.32,0
92.768,10.768,90.768,88.84,3.152,61.92,3
89.44,18.776,87.328,104.44,0,83.88,0
95.664,9.664,94.496,84.16,6.664,59.16,1
94.416,8.416,92.624,81.04,5.416,56.04,1
95.312,9.312,93.968,83.28,6.312,58.28,3
90.304,12.76,88.304,95.76,0.304,66.52,1
96.288,4.384,95.192,61.92,7.192,50.48,4
98.232,6.976,96.488,74.88,8.488,53.72,1
91.744,16.36,89.744,99.36,1.744,73.72,4
90.992,14.48,88.992,97.48,0.992,69.96,1
97.44,5.92,95.96,69.6,7.96,52.4,4
93.776,11.776,91.776,93.88,4.664,64.44,1
92.528,10.528,90.528,87.64,2.792,61.32,0
92.176,10.176,90.176,85.88,2.264,60.44,3
95.872,9.872,94.808,84.68,6.872,59.68,3
86.36,17.544,83.632,101.36,0,77.72,3
97.32,5.76,95.88,68.8,7.88,52.2,3
95.136,9.136,93.704,82.84,6.136,57.84,3
90.016,12.04,88.016,95.04,0.016,65.08,4
85.96,17.384,83.152,100.96,0,76.92,2
92.112,10.112,90.112,85.56,2.168,60.28,2
94,8,92,80,5,55,3
86.76,17.704,84.112,101.76,0,78.52,1
96.312,4.416,95.208,62.08,7.208,50.52,3
91.52,15.8,89.52,98.8,1.52,72.6,3
86.32,17.528,83.584,101.32,0,77.64,2
95.488,9.488,94.232,83.72,6.488,58.72,0
91.392,15.48,89.392,98.48,1.392,71.96,4
97.056,5.408,95.704,67.04,7.704,51.76,4
96.504,4.672,95.336,63.36,7.336,50.84,1
91.152,14.88,89.152,97.88,1.152,70.76,1
87.56,18.024,85.072,102.56,0,80.12,0
90.416,13.04,88.416,96.04,0.416,67.08,1
95.328,9.328,93.992,83.32,6.328,58.32,4
87.72,18.088,85.264,102.72,0,80.44,3
91.792,16.48,89.792,99.48,1.792,73.96,0
90.592,13.48,88.592,96.48,0.592,67.96,1
88.04,18.216,85.648,103.04,0,81.08,4
90.128,12.32,88.128,95.32,0.128,65.64,4
98.448,7.264,96.632,76.32,8.632,54.08,0
90.928,14.32,88.928,97.32,0.928,69.64,0
93.936,11.936,91.936,94.68,4.904,64.84,1
90.16,12.4,88.16,95.4,0.16,65.8,1
90.528,13.32,88.528,96.32,0.528,67.64,0
94.272,8.272,92.408,80.68,5.272,55.68,4
86.56,17.624,83.872,101.56,0,78.12,0
92.016,10.016,90.016,85.08,2.024,60.04,4
90.368,12.92,88.368,95.92,0.368,66.84,2
94.224,8.224,92.336,80.56,5.224,55.56,0
91.728,16.32,89.728,99.32,1.728,73.64,2
93.488,11.488,91.488,92.44,4.232,63.72,3
90.464,13.16,88.464,96.16,0.464,67.32,2
87.04,17.816,84.448,102.04,0,79.08,2
92.944,10.944,90.944,89.72,3.416,62.36,4
89.84,18.936,87.808,104.84,0,84.68,3
90.256,12.64,88.256,95.64,0.256,66.28,1
93.312,11.312,91.312,91.56,3.968,63.28,4
98.328,7.104,96.552,75.52,8.552,53.88,1
97.272,5.696,95.848,68.48,7.848,52.12,1
95.232,9.232,93.848,83.08,6.232,58.08,1
93.744,11.744,91.744,93.72,4.616,64.36,2
90.64,13.6,88.64,96.6,0.64,68.2,4
93.44,11.44,91.44,92.2,4.16,63.6,4
93.792,11.792,91.792,93.96,4.688,64.48,3
88.56,18.424,86.272,103.56,0,82.12,2
88.8,18.52,86.56,103.8,0,82.6,0
95.712,9.712,94.568,84.28,6.712,59.28,1
96.984,5.312,95.656,66.56,7.656,51.64,3
88.32,18.328,85.984,103.32,0,81.64,1
94.384,8.384,92.576,80.96,5.384,55.96,3
93.008,11.008,91.008,90.04,3.512,62.52,1
91.264,15.16,89.264,98.16,1.264,71.32,1
86.16,17.464,83.392,101.16,0,77.32,1
91.248,15.12,89.248,98.12,1.248,71.24,1
91.904,16.76,89.904,99.76,1.904,74.52,4
90.448,13.12,88.448,96.12,0.448,67.24,2
96.216,4.288,95.144,61.44,7.144,50.36,4
91.984,16.96,89.984,99.96,1.984,74.92,1
97.344,5.792,95.896,68.96,7.896,52.24,4
94.912,8.912,93.368,82.28,5.912,57.28,2
91.312,15.28,89.312,98.28,1.312,71.56,2
91.2,15,89.2,98,1.2,71,1
91.104,14.76,89.104,97.76,1.104,70.52,3
92.432,10.432,90.432,87.16,2.648,61.08,3
85.6,17.24,82.72,100.6,0,76.2,2
