class,Wheel Base,Breadth,Height,Engine size,City Mileage,Highway Mileage
convertible,93.7,64.4,50.8,92,31,38
hatchback,93.7,64.4,50.8,92,31,38
sedan,93,63.8,50.8,98,24,30
sedan,96.3,65.4,49.4,110,23,30
sedan,96.3,65.4,49.4,122,25,32
sedan,95.9,66.3,50.2,156,19,24
wagon,95.9,66.3,50.2,156,19,24
sedan,95.9,66.3,50.2,156,19,24
hatchback,96.3,65.4,51.6,122,25,32
sedan,96.3,65.4,51.6,122,25,32
sedan,96.3,65.4,51.6,110,23,30
sedan,94.5,63.8,54.5,97,31,37
sedan,94.5,63.8,54.5,103,45,50
sedan,94.5,63.8,54.5,97,31,37
sedan,94.5,63.8,54.5,97,31,37
wagon,94.5,63.8,53.5,97,31,37
sedan,94.5,63.8,54.5,97,31,37
hatchback,94.5,63.8,53.3,97,31,37
sedan,94.5,63.8,54.5,97,31,37
wagon,94.5,63.8,53.5,97,31,37
hardtop,95.1,63.8,53.3,97,31,37
hatchback,97.2,65.2,54.7,120,27,34
sedan,97.2,65.2,54.7,120,27,34
sedan,100.4,66.5,55.1,181,17,22
wagon,100.4,66.5,56.1,181,17,22
sedan,100.4,66.5,55.1,181,19,25
hatchback,91.3,67.9,49.7,181,19,25
hatchback,91.3,67.9,49.7,181,17,23
hatchback,99.2,67.9,49.7,181,19,25
sedan,107.9,68.4,56.7,120,19,24
sedan,107.9,68.4,56.7,152,28,33
hatchback,114.2,68.4,58.7,120,19,24
wagon,114.2,68.4,58.7,152,25,25
wagon,114.2,68.4,56.7,120,19,24
wagon,114.2,68.4,58.7,152,25,25
sedan,107.9,68.4,56.7,120,19,24
sedan,107.9,68.4,56.7,152,28,33
sedan,108,68.3,56,134,18,24
hatchback,93.7,63.8,50.8,90,37,41
hatchback,93.7,63.8,50.8,98,24,30
hatchback,93.7,63.8,50.6,90,31,38
sedan,93.7,63.8,50.8,90,31,38
sedan,93.7,63.8,50.8,98,31,38
wagon,103.3,64.6,59.8,122,24,30
hatchback,95.9,66.3,50.2,156,19,24
hatchback,94.5,68.3,50.2,151,19,27
hardtop,89.5,65,51.6,194,17,25
convertible,89.5,65,51.6,194,17,25
hatchback,98.4,72.3,50.5,203,17,28
wagon,96.1,66.5,55.2,132,23,31
hatchback,96.1,66.6,50.5,132,23,31
hatchback,99.1,66.5,56.1,121,21,28
sedan,99.1,66.5,56.1,121,21,28
hatchback,99.1,66.5,56.1,121,21,28
sedan,99.1,66.5,56.1,121,21,28
hatchback,99.1,66.5,56.1,121,19,26
sedan,99.1,66.5,56.1,121,19,26
hatchback,93.7,63.4,53.7,97,31,36
hatchback,93.7,63.6,53.7,108,26,31
hatchback,93.3,63.8,55.7,108,26,31
sedan,97.2,65.4,52.5,108,32,37
sedan,97.2,65.4,52.5,108,28,33
sedan,97.2,65.4,52.5,108,26,32
sedan,97,65.4,54.3,108,24,25
sedan,97,65.4,54.3,108,24,29
wagon,97,65.4,53,108,28,32
wagon,97,65.4,53,108,25,31
wagon,96.9,65.4,54.9,108,23,29
wagon,96.9,65.4,54.9,108,23,23
hatchback,95.7,63.6,54.5,92,35,39
hatchback,95.7,63.6,54.5,92,31,38
hatchback,95.7,63.6,54.5,92,31,38
wagon,95.7,63.6,59.1,92,31,37
wagon,95.7,63.6,59.1,92,27,32
wagon,95.7,63.6,59.1,92,27,32
sedan,95.7,64.4,53,98,30,37
hatchback,95.7,64.4,52.8,98,30,37
sedan,95.7,64.4,53,110,34,36
hatchback,95.7,64.4,52.8,110,38,47
sedan,95.7,64.4,53,98,38,47
hatchback,95.7,64.4,52.8,98,28,34
sedan,95.7,64.4,52.8,98,28,34
sedan,94.5,64,52.6,98,29,34
hatchback,94.5,64,52.6,98,29,34
sedan,94.5,64,52.6,98,26,29
hatchback,94.5,64,52.6,98,26,29
hardtop,98.4,65.6,52,146,24,30
hardtop,98.4,65.6,52,146,24,30
hatchback,98.4,65.6,52,146,24,30
hardtop,98.4,65.6,52,146,24,30
hatchback,98.4,65.6,52,146,24,30
convertible,98.4,65.6,53,146,24,30
sedan,102.4,66.5,54.9,122,29,34
sedan,102.4,66.5,54.9,110,30,33
hatchback,102.4,66.5,53.9,122,27,32
sedan,102.4,66.5,54.9,122,27,32
hatchback,102.4,66.5,53.9,122,27,32
hatchback,102.9,67.7,52,171,20,24
