class,anchor_ratio,trans_range,iterations,ale,sd_ale
200,30,15,40,0.773545928,0.250555301
100,15,15,70,0.911940683,0.498329391
100,30,15,50,0.814867311,0.255545506
100,15,20,20,1.435332143,0.39460254
100,30,15,40,1.265909048,0.302943301
100,22,18,24,1.457227702,0.463308546
100,18,23,14,1.912673609,0.440208313
200,10,25,15,1.432541304,0.234996306
100,29,25,40,0.777448602,0.351503738
100,20,20,30,1.142195399,0.230192531
200,15,20,20,0.694361186,0.108054554
100,18,23,16,1.536521724,0.247704526
100,18,23,24,1.054096551,0.312639571
200,30,15,70,0.616868756,0.156022817
100,30,20,50,1.306089929,0.3172243
100,22,18,18,2.568407259,0.663502187
200,14,17,40,0.857073355,0.264071316
100,15,15,60,1.360770699,0.606128956
200,14,17,70,0.761082794,0.098958496
100,15,20,40,1.400044509,0.381825484
100,15,15,40,0.968578876,0.521958738
100,15,20,70,1.236995855,0.373965312
100,20,20,20,1.424042411,0.432745628
200,30,15,50,0.623686944,0.198896422
200,20,20,30,0.639524158,0.144813998
300,27,12,34,0.527185071,0.092165079
200,20,20,40,0.583633811,0.113007589
100,15,15,100,0.835540467,0.279405006
100,30,20,30,0.856184664,0.249213749
200,14,17,80,0.694355398,0.109480995
200,30,15,60,0.610484539,0.156495612
100,30,15,100,0.898056384,0.395022756
200,15,15,80,0.579297331,0.141759096
200,30,15,80,0.584010393,0.13818947
100,18,23,18,1.42744727,0.300525323
300,15,15,80,0.48997044,0.098293934
100,15,15,20,1.972683353,1.092220436
200,14,17,50,0.85212508,0.242422714
100,15,20,80,0.987043662,0.272926693
200,20,20,20,0.777587417,0.079345684
100,15,16,16,2.178481596,0.473341171
200,10,25,25,0.771503642,0.173037596
100,30,15,70,1.230927917,0.288495035
200,15,20,40,0.754537261,0.110507227
300,15,15,70,0.538651227,0.071779145
200,30,15,20,0.955296453,0.24371308
100,30,15,30,1.068551445,0.220221197
100,30,20,100,0.79887717,0.208752827
200,15,15,70,0.726396136,0.201597177
100,30,20,40,0.997667623,0.192819135
100,30,20,60,1.088612931,0.308180737
100,22,18,36,1.374326218,0.369650907
300,15,15,30,0.59538378,0.095468884
200,15,20,50,0.768373628,0.187631996
300,30,15,40,0.394028786,0.050900443
100,28,15,16,2.263947216,0.621398226
100,20,20,50,1.101590753,0.394539056
100,18,23,22,0.98210734,0.18315808
100,15,15,80,0.938538151,0.431164582
300,26,25,21,0.593627328,0.040814027
100,29,25,70,0.65610635,0.170127389
100,30,20,90,0.703330372,0.154978608
200,15,20,70,0.626509484,0.071994182
200,14,17,20,1.099575572,0.201073083
100,15,20,90,1.087560553,0.287104621
100,30,20,20,1.100996767,0.277833677
100,30,15,60,0.958956875,0.247748433
200,14,17,100,0.587373084,0.120572202
300,15,15,60,0.644282653,0.079024456
300,15,15,20,0.755031177,0.13089836
100,30,15,20,1.720087588,0.25623594
300,30,15,50,0.445195572,0.104002617
100,15,15,30,1.311226379,0.991961832
200,20,20,50,0.564917798,0.087060545
300,15,15,40,0.640866088,0.102241216
100,15,20,30,1.367249523,0.387468737
100,15,15,90,1.204298023,0.349468948
200,15,15,30,0.953480053,0.185214399
200,15,15,20,1.020652502,0.248160335
100,15,15,50,0.933937176,0.597886028
200,15,15,50,0.894478416,0.16032499
100,30,20,80,0.745117828,0.166373385
300,30,15,20,0.542908875,0.051112026
100,30,15,80,1.068203541,0.125976319
200,15,15,60,0.623929257,0.122912992
100,30,15,90,1.068378634,0.444850225
100,15,20,100,0.978801005,0.319224485
100,22,18,30,1.749733665,0.541785408
100,15,16,20,1.37108134,0.443621064
100,22,18,42,1.531824386,0.407232987
100,15,20,60,1.166177374,0.306563863
200,14,17,90,0.654629411,0.091094408
200,15,20,30,0.87334123,0.265818779
200,15,20,80,0.510574851,0.0543026
300,26,25,35,0.514113413,0.003267308
200,15,20,60,0.777208513,0.161208564
300,15,15,50,0.59150413,0.089417566
200,30,15,30,0.824427842,0.355873465
100,30,20,70,0.736392617,0.097663974
300,30,15,30,0.450843254,0.071420948
100,22,18,48,1.188537496,0.353484938
200,14,17,30,0.991036709,0.147471311
100,18,23,20,1.2874723,0.375227192
200,14,17,60,0.899102232,0.231821509
100,15,20,50,1.171140151,0.372001486
100,20,20,40,1.234492651,0.599834316
200,15,15,40,0.635426082,0.139791282
